Breed Name,Temperament,AKC Breed Popularity,Height,Weight,Life Expectancy,Group
Affenpinscher,"Confident, Famously Funny, Fearless",Ranks 149 of 192,9-11.5 inches,7-10 pounds,12-15 years,Toy Group
Afghan Hound,"Independent, Sweet",Ranks 113 of 192,25-27 inches,50-60 pounds,12-18 years,Hound Group
Airedale Terrier,"Friendly, Clever, Courageous",Ranks 55 of 192,23 inches,50-70 pounds,11-14 years,Terrier Group
Akita,"Courageous, Dignified, Profoundly Loyal",Ranks 46 of 192,"26-28 inches (male), 24-26 inches (female)","100-130 pounds (male), 70-100 pounds (female)",10-13 years,Working Group
Alaskan Malamute,"Affectionate, Loyal, Playful",Ranks 59 of 192,"25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10-14 years,Working Group
American English Coonhound,"Sweet, Mellow, Sociable",Ranks 170 of 192,"24-26 inches (male), 23-25 inches (female)",45-65 pounds,11-12 years,Hound Group
American Eskimo Dog,"Playful, Perky, Smart",Ranks 122 of 192,"9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",13-15 years,Non-Sporting Group
American Foxhound,"Independent, Easy-Going, Sweet-Tempered",Ranks 189 of 192,"22-25 inches (male), 21-24 inches (female)","65-70 pounds (male), 60-65 pounds (female)",11-13 years,Hound Group
American Hairless Terrier,"Energetic, Alert, Curious",Ranks 106 of 192,12-16 inches,12-16 pounds,14-16 years,Terrier Group
American Leopard Hound,"Sociable, Energetic, Intelligent",,21-27 inches,45-70 pounds,12-15 years,Foundation Stock Service
American Staffordshire Terrier,"Confident, Smart, Good-Natured",Ranks 81 of 192,"18-19 inches (male), 17-18 inches (female)","55-70 pounds (male), 40-55 pounds (female)",12-16 years,Terrier Group
American Water Spaniel,"Eager, Happy, Charming",Ranks 156 of 192,15-18 inches,"30-45 pounds (male), 25-40 pounds (female)",10-14 years,Sporting Group
Anatolian Shepherd Dog,"Loyal, Independent, Reserved",Ranks 84 of 192,"29 inches (male), 27 inches (female)","110-150 pounds (male), 80-120 pounds (female)",11-13 years,Working Group
Appenzeller Sennenhund,"Playful, Charming, Inquisitive",Ranks 49 of 192,"28-30 inches (males), 26-28 inches (female)","140-180 pounds (male), 120-140 pounds (female)",8-10 years,Working Group
Australian Cattle Dog,"Alert, Curious, Pleasant",Ranks 54 of 192,"18-20 inches (male), 17-19 inches (female)",35-50 pounds,12-16 years,Herding Group
Australian Kelpie,"Loyal, Alert, Intelligent",-,17-20 inches,-,10-13 years,Foundation Stock Service
Australian Shepherd,"Smart, Work-Oriented, Exuberant",Ranks 16 of 192,"20-23 inches (male), 18-21 inches (female)","50-65 pounds (male), 40-55 pounds (female)",12-15 years,Herding Group
Australian Stumpy Tail Cattle Dog,"Agile, Intelligent, Self-Confident",Ranks 7 of 192,No more than 10 inches,4-6 pounds,10-18 years,Toy Group
Australian Terrier,"Affectionate, Courageous, Spirited",Ranks 136 of 192,10-11 inches,15-20 pounds,11-15 years,Terrier Group
Azawakh,"Loyal, Independent, Deeply Affectionate",-,"25-29 inches (male), 23.5-27.5 inches (female)","44-55 pounds (male), 33-44 pounds (female)",12-15 years,Miscellaneous Class
Barbet,"Friendly, Bright, Sweet-Natured",-,19-24.5 inches,35-65 pounds,12-14 years,Miscellaneous Class
Basenji,"Independent, Smart, Poised",Ranks 88 of 192,"17 inches (male), 16 inches (female)","24 pounds (male), 22 pounds (female)",13-14 years,Hound Group
